class,tweet
0,"Poll Florida Governor Rick Scott is leading Charlie Crist by five points."
0,"The Moors used to give kids free lunch in the Bronx when I was a kid. Glad to see they are still doing good."
1,"if I can get this bitch to go -->>"
1,"lmaooooo we can't wash that baby ass honda you got cause that hoe don't cost more than 1200"
1,"that don't mean you're not balling lol shut up hoe lol"
1,"I just wanna slit this mf throat"
0,"pretty girls wit bird brains what a waste smh"
0,"how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?"
1,"Roll that weed bitchShake that ass hoe"
1,"lmaooooo relax 59-0 on Ya mark bitch ass. Roll Tide! Fuck the state of Texas"
1,"Try to take Othot drugs bitch I'm 30'd up"
1,"remember when people bood One Direction and Gaga was having none of it. i love that bitch."
1,"Biggie was and always will be the flyest cunt in rap. biggie"
0,"It's gonna be a long season for the Yankees if this simulation is right BlueJays Rays Yankees Orioles"
1,"coolin my nig ( voice) uhhee ( laugh)"
0,"That was a solid investment of 15 mins. Cue up Frank. Yankees. Wow."
1,"One who can't keep his bitch What kind of man can't parallel park?"
1,"you did a good job doing that to me and not texting back faggot"
1,"I hate when people say you can't befriend a hoe. How bitch how!?1. I'm only held accountable for my pussy.2. It's all about"
1,"Selfie game retarded"
1,"So ike just had to punch a nigga for harassing a young lady on Ga ave and Florida Ave in nw dc youoksis"
1,"Go UTES! You got Playboy bitches, disrespectful players, and a bunch of spoiled hipsters at your school, so I'm cheering for you. not"
1,"Hood hoes love Harrell football team"
0,"Far as I can tell coon tracks on the cab door window - tractor was parked by some trees away from home"
1,"when you let go of all your hoes for one girl but she end up bein a hoe too"
1,"Lmao that the funniest way to disrespect a person by calling him a itty bitty bitch. Makes me feel low in life"
0,"I luv watching gas monkey, they be havin some classics on there."
0,"when other girls wear beanies they look cute and stylish but when i wear them i look like a member of a drug cartel who sel"
0,"85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area?"
1,"cant hate onna bitch getting paid for what she got"
1,"I ain't stressin you hoes. Know dat"
1,"i wish i was lesbian so i wouldn't have to deal with bitch boys but mostly bc girls are rlly hot"
0,"can my cat not kill birds and make a huge mes of feathers"
0,"The fact that the Bruins drafted a Yankees fan just goes to show how weak the scouting staff is IMO. Didn't do their homework. firechoreli"
0,"Strong with the Force, leprechauns are."
1,"I'm lmao fa real cuz I really saw her throw dat bitch in a circle lol"
1,"You hoes complain too much."
1,"How you real, don't put NO money on you nigga books? But chu buy a bitch Chanel just to hit the Puss!"
1,"legit retard"
0,"Deep Fried Oreos"
0,"Today something is dope. Tomorrow that same thing is trash. Next month it is irrelevant. Next year it's classic."
1,"This song may be for basic bitches but it's such a mood boost"
1,"Abed and I are gonna retire in Florida and get all the bad bitches in the nursing home."
0,"love birds."
0,"Try visiting at night for a real spook!"
1,"Lamashtu has some great orgies but is a total bitch. lol P"
1,"Happy birthday little bitch boy"
0,"5 bags of chips, 3 Rice Krispies, 3 seeds, 3 gummies, a pop tart, some crackers, 3 powerades, and a water yuhhh I'm good lol"
1,"A black man asked me Hey white boy, do you like niggers?Well I wouldn't use that word personally I said, Like is a st"
1,"I hate those creepy ass dolls that call you dada, I'm like bitch I ain't yo daddy"
1,"I guarantee there will b some hot twats out tonight in dresses with no leggings and open toed shoes."
0,"A-Rod said the number 13 he wears on his uniform is for opposing teams to fear him but the fact is A-Rod is a damn cancer to the Yankees"
0,"The Perfect Gift for the Jihadi on Your Shopping List"
0,"Their gotta be a loaded lux vs Murda mook 3"
1,"Nappy chin hairs, bitch I'm mothafuckin q!"
0,"Jihadis claim to have shot an Iraq army Mi-35 attack helicopter in Beji and identify its pilot by name, rank"
1,"get a real hair cut faggot. I served my country in the Marines for 8 years. What have u done."
0,"who's downie like a brownie 4 brunch? Need mimosas"
1,"Hey pussy you still there?"
1,"It's ok to tell a nigga he trash and a feature will never happen fam."
1,"I know bitches be mad as shit when they friends borrow their clothes and its a bunch of girls in her IG comments sayin how cute the outfit is"
1,"bitch u a thot oh fake ass nigga box up hoe u not bout nothing"
0,"not all black girls are ghetto though"
1,"So apparently me and Eric fucced and I be just fuccing every nigga GREAT but y'all bitches NOT whoppin and talkin behind BLOCCED twitters"
1,"Lol bitches act hard when they stay getting they ass beat"
1,"Are pet guinea pig is about to die this fucking blows /"
0,"I hope the Yankees game doesn't get rained out tonight. It's going to be a special atmosphere and game. Jeter deser"
0,"Ima trash in fantasy"
0,"I should start wearing beanies more"
0,"Who'd have thought my redneck husband would claim the hipster glasses?"
1,"I loved her as much and as long as I could ma niggah ."
1,"Seattle Mayoral Election this year. A choice between a bunch of women, non-whites, and faggots/fag lovers."
0,"Horny called me asking her to buy her a drink this morning and then this jiggaboo walks in WITH A SONIC DRINK IN HER HAND DONE"
1,"Gettin a lil midnight snack, best po-boys in town Genes with my nigs and nick_swag_is_504"
0,"My shift won't be over no time so in the mean time im doing what I have to go to get by. And if it means tweeting trash I will"
1,"Real bitches (like me) make sure you get some even when they not. Lol"
0,"In Hopes of Recruiting More Women, ISIS Opens Jihadi Finishing School"
1,"Resisting the urge to smack a bitch"
1,"bitch"
0,"Bu I do. I do hate the playa. And the Yankees. If I hate the Yankees for their payroll I have to hate the Dodgers."
1,"I swear, new bitches here me rap and its a WRAP !"
1,"I tell bitches I got that I.T.S ( IKE TURNER SYNDROME )"
0,"So this ape can get a MCM but I can't unbelievable"
0,"In Hopes of Recruiting More Women, ISIS Opens Jihadi Finishing School"
0,"directions let bird chill in sink for 30 minutesme ok"
1,"It's my main bitches 21st ayyyeeee happy birthday babbbyyy!"
1,"how dare insult that pearl harbor vet. You are a dumb cunt."
0,"First jig of the night"
1,"with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay."
0,"Draft Drinking Game chug a beer everytime you see a black woman crying."
1,"I just wanna get lifted and fuck exotic bitches!"
1,"you fuckin Yankees I'll be there in 2 months I'll meet you pussy"
1,"Have a seat drunk bitch RKO"
0,"The jig"
1,"Cussed out by a fat redneck on the last day YOLO"
1,"I'm not a fag. Gtfo"
0,"Apple need to add some colored emoji"
1,"I need a bad bitch thats gon treat me good"
0,"Luv riding the MetroNorth with sour drunk Yankees fans after a loss TooBad MetsFan QueensAllDay"
1,"faggots, old people, people who can't drive, drunk people"
0,"loves Austin Webber such a boon for . 6HCOTA"
0,"Bill Maher mocks gullible America for missing the real enemy"
1,"I don't care what they is they can catch them hoes"
0,"Oreo 6's"
0,"So City Lights is a Charlie Chaplin movie by via"
1,"Lol, always with the complaining and crying. Just like when Jeezy broke up with you cause your a moaning old bitch."
1,"My nephew keeps tryna kiss me and I'm like bitch you got zero followers, dismiss yourself."
0,"Kanye West is a costume not a mock of a race. girl I hate to do this but Kanye is a human not a costume but"
1,"y'all be dick riding and praising these hoes that's why half of Miami feel like they celebs off this social media shit"
1,"You a pussy bitch and I kick your ass in gta, but you're chill as fuck and we need that 1v1 in basketball again"
0,"I can only hope Charlie Strong. UTcoach"
0,"WH Obama wont name Holders replacement until you rubes have already cast your midterm ballots - Hot Air"
1,"all us beaners were pissed like robert when the jew ref stopped it"
1,"don't play games with a girl who can play better, bitch."
0,"now time to find the monkey term scripts!"
0,"Isn't there a law that all clam chowder must be served im bread bowls? Haha"
1,"why is he stressin himself this nig can be livin lik meech before he went to prison"
1,"bitch you already know I would go crazy with out you"
0,"DEREK JETER clap clap clapclapclap Yankees"
0,"LMAO dude, you said we would get no commitment from Saudi Arabia or Jordan! How does crow taste? More proof you are full of it"
0,"Can someone please explain to me, Why are the birds so angry and destroying pigs homes?"
0,"I went outside and got mad bc this weather is trash"
1,"My neighbors be sick when i wake um up to all this nigger music ctfu"
1,"I hate a I'm my own WCW ass bitch"
0,"Brownies brownies brownies"
1,"Couldn't care less about any bitch"
0,"Call me old fashioned, but I'm sewn together with magic and birds."
1,"shit is trash"
1,"lmao, them bitches was the truth"
0,"I been to mushroom mountainOnce or twice but who's countin'But nothin comparesTo these blue and yellow purple pills"
1,"Even my moms knows I don't fuck with ghetto people"
0,"Watched some crows eat a sandwich"
0,"Please stop scoring, otherwise you won't have any runs for tomorrow against Romero Yankees BlueJays MLB"
1,"You bitter bitches need a life !"
0,"Monkey see monkey do really Abu"
0,"No not at all. It's a slippery slope. Just don't want to lose my right to self defense. 1st its background checks then?"
0,"some weird local ghetto school haha"
0,"Yankees Primo! Just got home and the Tanks are on MLB. Finally! And they are winning! Even better. Time to get serious, Sept call up time"
1,"is the bitch in the new transformers hot?"
0,"I don't understand the need for multiple autopsies. I guess they're going to keep on until they can slant 1 against the officer"
0,"If you decide to do Damara, you should make her a gladiola. We have gorgeous rust-colored ones coming up over here."
1,"thirsty ass hoe go to sleep"
1,"When your at the pharmacist and they tell you your medicine will be ready in 15 mins Wtf bitch it's been 30 stillwai"
1,"Not one bitch is texting me right now. 3,000 followers, 22 inch rims, 60 inch tv and straight ass teeth but 0 text messages. Ima kill myself"
1,"lmao that bitch saw the camera and looked up at the big screen n then realized"
1,"Winter time walking is no hoe ! ctfu"
0,"Why is all these artist and new ones making so much trash?"
0,"PND vocals so trash lmao"
1,"you're right momma ain't raise no faggot"
0,"worse yet u meet a bird with a nice ras and you're like something about u looks familiar lol"
0,"i reblogged them to mock her god bless"
0,"BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA 718-622-0221 - 24"
0,"A nice round-up of voices in China Africa relations China-Africa Trade The Oriental Allure"
1,"Sex on 1st date dont mean you a hoe, waiting 120 days wont make you a wife, cute pics dont mean you happy and having a tit"
0,"It's settled. The Ding Dong is far superior than the Twinkie."
0,"alas, I am proficient in neither. my skills are limited to pointless stat memorization + trash talk."
0,"Thanks Charlie"
1,"I don't got no type, bad bitches is the only thing that I Iike"
1,"bitch doing a keg stand at this party"
0,"that was my mock done on a simulator check it out pick your team how many rounds and go for it"
1,"getting every dolla out this bitch"
1,"niggah das gay"
0,"birds of a feather"
0,"BEST NAME ON TWITTER EVER! AKA; Jewbacca<<SECOND BEST NAME ON TWITTER!"
0,"150 Christians MASSACRED By Jihadi Muslims While They Slept! Including Pastor, His Wife and Kids"
0,"Rams too Lakers as a whole is trash Jordan Hill is trash. Play Davis and Randle more"
0,"SchoolSchooSchoSchScSStStaStayStay hStay hoStay homStay home"
1,"politics isn't twitter coon lol"
0,"New avi thanks to b Oreo"
1,"you're still a free world bitch , don't deserve your 313 area code !"
0,"Asked three-year-old niece why the sun is yellow. Her reply Maybe there's bees in there."
0,"I didn't mock anything! Was asked I believed in Noah's arc and said no, how is that mocking any religion? Opinion that's all"
0,"yellow face and it's a no."
0,"Out of day care, I'm taking a kitty nap on you hosers."
1,"These hoe niggas havnt seen half of me. 2chainz"
1,"the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
0,"Everybody that's still on Facebook ghetto or pregnant idc.accurate"
1,"Every bitch with her ass out on Instagram bio be like deleted at 100k for booking email backpagepussy.com"
0,"This is why Charlie Sheen is an idol"
0,"I confess. I'm autistic or something. I thought Aerosmith DreamOn was LedZeppelin until like yesterday retarded"
1,"Only hoes love me"
0,"And she's watchin him with those eyes / And she's makin him linguine and clams with that body, I just know it!"
1,"What do you do when you the nigga thats currently cuffin a bitch dats getting exposed?"
0,"its mutual my lil yellow bone"
0,"If you honk your horn .4 seconds after the light turns green, I will shut off my car, lay on the hood, and feed birds fo"
0,"Working theory This selective race abortion ban passed in Florida today was just an excuse for redneck reps to say"
0,"I HATE birds! They just piss me off about the fact that I can't fly!"
0,"I hate when females try to sound like bird heads"
0,"you and me having Twitter bird shaped pancakes that would just be a start"
1,"if no bitches texting u right now"
1,"noll nigga I'm Talm bout Tt and juice me too! Ion hoe Em"
1,"Only movie i cant wait to see Tansformers4 . if its a fail im going killer ape shit on michael bay"
0,"oh i am She cool though, might off her a brownie lol"
1,"All these bitches and niggas be Trippin offa what type of relationship me and duddy got like we not fuccing no more and we not dating."
0,"That crow has socks"
0,"Jets trash"
0,"I LOVE my 10 and 5 but most days they remind me why birth control is important later in life.I miss my baby bird! Come home, 18!"
0,"Well, dirty bird could be just a middle finger, since it's the phallic giving the bird. Not necessarily a wobble-wibbler."
0,"Shy people tend have great observational skills, making it easier to recognize the core of a problem then solving it."
1,"if u lost all your bitches"
1,"Never been a bitch!"
1,"Why you let these hoes tear what we had right apart"
1,"that's true idk why your even in this convo you dumb nigger attention whore"
1,"I hate when those little white kids try and act black. Like bitch YOU ARE WHITE"
1,"Naturally, when a shitty leftist rag talks trash about another shitty leftist rag, you better fall in line. Or you're out of the club. crw"
1,"Shout out to all them bitches who don't own no designer shit and still look better than all YALL bitches with everything desi"
0,"if you'd marry Scarlett Johansson"
0,"Nah. ITS OVER> People don't tell artists what do to. That's defies the definition of what WE ARE TRYING TO SHOW youpeople. retards game7"
0,"Yesterday, I saw a red hair do, with streaks of orange and yellow in it. Combed up like Woody Wood Pecker. And"
1,"that hoe aint there anymore"
0,"This bro is just rippin apart a bird about 10 feet from us redtail hawk"
1,"These hoes need to stop hittin blunts and hit the gym unhealthy mfs"
0,"Bae means before anything else I always thought it was a ghetto word for babe"
0,"even nature looks awesome when colored in 663399Becca"
1,"Freak hoes got several"
0,"Last name, SinnerFirst name, ImmaLike ur pancakes in tha mornin, He got u covered like Aunt Jemima"
0,"Rotherdam RapeJihad coverup young girls sacrificed on altar of political correctness in favor pf paki pedo gangs"
0,"Cause I'm as free as a bird now, and this bird you can not change"
1,"This bitches voice"
0,"Whoooooaaa no chill savage Here monkey monkey"
0,"Got my vans on My pockets chunky"
0,"I took it harder when Rivera retired. I'm not a Yankee fan but I have a lot of love and respect for em. Especially the core 4"
0,"They were taking a picture and I saw a bird fly past and I was like, oh bird!"
0,"Oreo Ice Cream Sandwiches"
1,"This is a true ride or die bitch what the fuck hahahahah"
1,"The day you unblock me you will become a man again. But that won't happen so you just a bitch. lol"
1,"Them pretty nail bitches, them bail you outta jail bitches."
0,"On this USMNT day 2014, the Yanks advanced out of the GroupOfDeath despite a 0-1 loss to GER."
1,"yu ah hoelmfao,"
1,"I'm gonna miss that bitch of a bus driver no you won't. Don't lie"
1,"you're such a darkie."
1,"she taught these hoes how to pose"
0,"GM don't be the bird that didn't get the worm today GoStampsGo84"
1,"Some bitch niggas in drumlin just sprayed me with water and ran away fucking pussies"
0,"note to self boiling water hot, monkey brain"
0,"Cavs trash Heat trash Smhpat gotta make trades"
0,"Average is basic and basic is trash"
0,"1996 and 1999 World Series Rematch Yankees Braves"
1,"Slutty ass dykes"
1,"Do we love these hoes?"
1,"Yeah, it's fuck that Jigsaw-faced bitch everyday, B."
1,"why niggas put heart eyes under everybody pictures? then it be them poo la la hoes."
1,"Yal jus fags screen shootin the shit out of my stories"
1,"1? Smh Yoo What a fuckin EGO bust. pussy"
0,"Oreo Cheesecake Bars"
0,"Free wop"
1,"Um exactly how most of these hoes twat is setup"
0,"Might have a better chance if we put some trash cans out there."
0,"racist Tx trash there's no comparison betwn Pres Obama n GWBush poll will show He's supported 100%"
0,"BREAKING AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online."
1,"lmaoooo aye people person so you know lil Rico got hoes hahaha"
1,"Zach Huggins tell yo bitch to leave me tf alone"
1,"IM CRYING that bitch going hard"
0,"Pm is u use any of the words I use (ex. Sweg,pm,yid,nid) we're dating"
0,"To the senior class there will be Oreo funfetti bars in the den this morning"
1,"that's what I thought pussy"
0,"British Jihadi Mother Who Wants to Be First Female Executioner is MI6's Most Wanted"
1,"Niggas will call a female a hoe or thot then 10 mins later go to and thirst over a porn star"
0,"ELECT Democratic Nominee Charlie Hardy to U.S. Senate. WY Defeat TEA Mike Enzi. TNTweeters CIR"
1,"cuz people at work are bitches they shit talkers and yeah dude I need a girls night out -___-"
0,"Dreigdwergen, haatsmurfen en de Roze Khmer hoe Twitter een slagveld werd via"
0,"lmao it will have a slope of -2x+1"
1,"This bitch has a death grip on this niggas balls. Smh"
0,"People who would vote for Charlie Crist and Michelle Nunn are why our founders did NOT put a right to vote in our Constitut"
0,"when people say coloured"
0,"Aren't these little border jumpers supposed to be in school"
0,"Mets superstar pitcher is at the Yankees game wearing a Knicks hat KnicksTape"
0,"And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi"
1,"yu betta watch cho mouf bout dat one dea hoe"
1,"I'm sorry ya woman shouldn't be helping you out financially unless that's ya wife these hoes dumb"
0,"Texas ranchers Terrorists reportedly caught at border; feds clam up"
0,"Sitting on my window sill, window open, bird tries to fly in. Smacked it. ProtectTheAnimals"
0,"You wanna find hoes on here? Just follow the chicks who reply with heart eyes under sex gifs"
1,"Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses"
0,"they need to stop picking up UFCs trash though and build up there own fighters more."
0,"Can Charlie Crist pull one over on Rick Scott? Well he did pull one over on floridaprimary dems tonite. TPOT Election2014"
0,"I hear the birds in the summer breeze; I drive fast; I am alone at midnight."
1,"hoes these days"
0,"The family of Ron O'Neal needs to sue Wu-Tang for that trash song they released in his name."
0,"Let's cripple the vanity industry. How? Actually start liking who we are, and how we look."
0,"Sagittarius can be compassionate towards other people when they want to be, especially towards the ones they care abo"
0,"I feel sorry for anyone who paid for LIC because edc is trash music"
0,"Sheehey back door cuts still go un guarded! IU HoosierHoops hoosiers"
1,"I mean we can get married. As long we can sign a prenuptial agreement. It's 2014 bitch."
0,"How long are they going to let the fools in Ferguson continue? Stop pussy footin and disperse them by WHATEVER means necessary!"
0,"via )"
1,"guy send me a pic of your pussy Girl ok *sends pic of pussy*guy HOLY SHIT, WHAT DAFUQ I WANTED TO SEE THE CAT!"
0,"Oreo ice cream. ~"
0,"You're responsible for the story inside you. Don't let self-doubt cripple your creativity. AmEditing AmWriting WriteTip"
1,"I feel the sorry for the nice people in this world because they're actually the solution. Its all you hoes and assholes thats the problem"
0,"I grew to hate blonde and primary colored weaves but that wouldn't stop me from requesting some good mouthwork."
0,"I still can't understand why we don't dump our trash in the ocean. it's pretty big and it'd surely be cheaper than launching it into space."
1,"faggots are MERELY a scientific indicator that SOMETHING IS WRONG> Do not celebrate as unique indiviuals for they are cancer>"
1,"L7 niggas will rock anything a bad bitch post post on these social sites I just want a nigga to sniff a fart off my ass crack like dope."
0,"nerds are cool because they get really judge-y about other nerds being passionate about things they aren't passionate abo"
1,"I love my family, but I wouldn't even need water to pop that Red Pill. That hoe is getting taken swiftly."
1,"When Mr. Krabs sold Spongebob out for 62 cents thats when I knew hoes aint loyalrealist shit I've seen"
0,"I may or may not have at least 4 FOB related tattoos already planned out."
0,"Even though a bird can fly, it must land on earth."
0,"Two of the best Yankees Derek Jeter and Joe Torre JoeTorreDay"
1,"thought retard"
1,"I need some good pussy, fuck"
1,"dem niggas ca have them white hoes I love my beautiful black sistas"
0,"I uploaded a video GOProud Makes Money Out of Twinkie Crisis in Free Market Spirit"
1,"this nigga Kanye looking at his ice cream like hoe ass ice cream you aint as cold as Kanye"
1,"I be drippin in so much damn sauce, got bitches ready to lick it off"
0,"hey now there's no need for foul language you kike"
1,"You just ugly AF stick to one This new avi trash or nah"
0,"When Charlie tries to walk into my room and it can't remember if I locked the door or not"
0,"Morgan Park kids like to pop fire crackers in the school now"
1,"i love this emoji she's just like DUH bitch lol i don't give a fuck you're ugly whatcha gonna do about it"
1,"long tittie no nipple havin ass bitch"
0,"flappy bird is deep hahaha"
1,"Tweakin hoe"
1,"When you ate the pussy but yeen think she was gone tell anybody"
0,"dblite works like a charm in OpenWrt Arduino Yun with full test coverage. The gyp version would rarely made in there"
1,"Lol she blocked you little bitches these days."
0,"Game 126 Preview Houston Astros at New York Yankees"
0,"Kickin trash cans on the golf cart yeeyee"
0,"My baby guinea pig is so cute Adorable"
1,"I told you to unfollow that bitch but you ain't wanna listen Barbie"
0,"Any solution to ZOG which doesn't deal with demographics - only laws - is no solution.NorthwestImperative"
1,"Boy! Some hoes be setting themselves up for failure shit be so funny! I'm sleep tho"
0,"then who are you to call me trash"
0,"Don't get me wrong G I'd hunt birds but that's a lot of work and well I just ain't that hungry"
1,"Only a hoe would favorite that"
1,"thank you for the lyrics, these bitches so gullible an sleep on your music they just be like aw u so sweet let me suck ur dick"
1,"porn,android,iphone,ipad,sex,xxx, | Japanese | Young Japanese girls hairy cunt creampied"
0,"Good! She's a ghetto thug! So FPD just arrested for being in the street. Ferguson"
0,"Zack still questions my love for Oreos lol"
1,"She's aint being a bitch, she's just tired of your bullshit. Her attitude towards you is based upon how you treat her."
1,"It's money over bitches even though I love ladies"
1,"are we bitches? -"
1,"I need a bitch to top me till I get sleepy"
0,"would help for some others can't handle uppers and cripples them plus if moderation isn't taken into consideration it'll be bad"
1,"When a hoe says hi to bae"
1,"fuck you both bitches."
0,"A photographer hid in a trash can to get these adorable engagement photos"
0,"mock draft?"
1,"Told yo bitch get on her knees I don't want no sex"
1,"naw hoe let me see if you got Keisha"
1,"hoes suck my dick cus i look like john stockton hit em wit the choppa, luke i am your fatherrr -"
0,"Yasss brownies and ice cream"
0,"Worst tweet ever'? PR pro manages to sound racist, mock AIDS in a single tweet"
0,"You know how in superhero stories the best insult for superheroes dumb mooks can come up with is do-gooder? whiteknight"
0,"Told you Artprize is more than trash"
0,"Wiz is garbage to be put in the trash can known as Beyonc to be put in a dumpster known as the VMAs."
0,"Just watched the Llewyn Davis doc. Warm fuzzies abound"
0,"R-Surge For Charlie Baker-R of 9 points in Demo-State Mass against Coakley-D! DoG via"
1,"Like bitch"
0,"This is really for Exploding giant yellow ducks. Youll appreciate this"
1,"Vote or Die bitches"
0,"Rise+Rhyme snowpatricksday ON in the AM! Wear your green, dance a jig and sing a lively tune w/ me!http"
1,"brush lets just ignore the silly hoe. She's pregnant, hella hormones. tryna fuck with other people"
0,"I don't like the weather right now it's scaring me lol why is it yellow?"
0,"The people of the ghetto are rising up and fighting back. Whose side are you on? Gaza"
0,"LMFAO OH NAH SHE KEEP IT THREE HUNNA twitpic a selfie if u a ho"
1,"I refuse Damn bitches are always talking shit about Draya!"
1,"Latina pussy be like"
0,"Do you know where I grew up Skippy?"
1,"That's why I tucked yo bitch u ignorant ass mother fucker"
0,"he see the jig"
0,"I could go for a brownie right now"
1,"Put her in her place cause pussies don't get pussy"
1,"hells yeah fuckin sick ass bitch"
1,"90% of the black girls at my school are ghetto AF 98.6%"
0,"Holy monkey balls its warm today"
0,"BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA 718-622-0221 - 24"
1,"Dis broad done tagged dis nicca n a video of his sis giving dome Tragic"
1,"It's annoying when ppl follow to unfollow Like bitch I was trying to be considerate"
0,"you've gone and broke the wrong heart baby, and drove me redneck crazy"
1,"It's to the point that I don't enjoy watching Harden anymore. He constantly does that and it pisses me off. Stop being a bitch"
0,"Palin mocks Obama, on Russia rhetorically asks who could have seen this coming, the crowd goes wild CPAC2014"
1,"half of it will be about how you became ghetto in Compton."
0,"Should I be worried that a lady behind my building is talking to a crow?"
0,"Rise of the planet of the apes doin a musical?"
1,"you used to be the shit but now you ain't shit bitch"
0,"Naw I'm trash Keep ya pity hugs"
1,"like Snoop said in 94 we dont love these hoes"
1,"Fat hoes always wanna beef with somebody, yall don't need to be around no type of beef"
0,"Charlie Rangel Re-Writes History On GOP They Think They Won The Civil War"
1,"I wish sombody get this hoe away from me"
1,"dear michele bachman shut the fuck up you crazy bitch."
0,"Random thought - If a bird crossing the path of a FG try were impacted by ball causing it to deflect off course. Re-kick or miss?"
0,"Twice divorced teabagger Florida Attorney General says marriage is reserved for stable, enduring family units"
1,"Ugly hoes favorite line I'm far from ugly I be like naw hoe, you closer than you think!"
1,"Am I wrong fa laughin at dem niccas on 1st 48 who be cryin n the interrogation room"
0,"I don't understand it, there's trash cans/dumpsters everywhere and if there's not, just wait till you go somewhere with one."
1,"No officer I wasn't drunk driving, I was swerving on them hoes."
1,"Citi field bitches"
0,"aka he wanna keep you warm, shoulda just introduced himself coons"
0,"Tyrese trash"
0,"Great weather to hit up the slopes this weekend and open Saturday! COwx skiseason ht"
0,"trash"
1,"This height shit aint cute at all. Yall some dumb hoes going out in public looking like Jack and the bean stalk."
1,"This hoe got 10 seconds to get the hell up outta my face before i set that weave on fire"
0,"Sorry I missed that, you mean where I live is disgusting or that that muzzies in the UK r disgusting, or both? Have a great Sun."
1,"and ion have a bitch. So yeah. What's understood don't need to be explained."
0,"Come On Yankees Lets Keep This Game Going! We Must Win!"
0,"Yankees got beaten by a thug"
1,"When you hear ya homie with no hoes lying"
0,"Toma ESO negros"
1,"Ungrateful bitches never happy how u not happy? What u mean u ain't happy? youngjefe!"
0,"That the Yankees have won four straight Shane Greene starts and 7 of 9 speaks to his stability in a season of starters emergen"
0,"woof woof and hot soles"
1,"This is great loser and coward grabbed my iPhone and threw it in the street. He's a pussy."
0,"jacob u look like a monkey in dis"
0,"When the trash bag is so full , you can barely tie it STTOOOPP!"
1,"sweet Jesus, I'm a beleiber Look at this bitch nigga tho"
0,"This Jimmy Fallon Prank of getting NY Yankees fans to boo Robinson Cano is amazing. via"
0,"a girl tweeted you might be ghetto if u bring food from outside into the moviesno u might be stupid if u pay 4.99 fo"
0,"and take the trash out and separate the recyclables"
1,"I can fuck yo bitch and you can't"
0,"BASICALLY, GOP, ROMNEY, right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers."
1,"fuck bitches get money"
0,"USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. he's a bitch"
0,"I like brownies"
1,"im a boss ass bitch"
1,"I wonder how many of y'all hoes got homegrown sex tapes online and U.O.E.N.O"
1,"Shreks on bitches"
0,"Gotta get my superbowl shirt at the cleaners then we hitting the big bird."
1,"Strapped up fasho cause Iont trust no hoe"
0,"Tilt my chin back, slit my throat, take a bath in my blood, get to know me"
1,"I put my pants on one leg at a time, just like you guys. But then I eat a plus-size models pussy in my helicopter."
1,"I don't love these bitches OR these hoes; fuck they thought? I love my MONEY!"
1,"I got ass cheeks on my white tee, all these hoes keep grindin on me"
1,"you're a fag for using that emoji. Anyways, you are one of my best friends and there is never a dull moment"
1,"I've always wanted to do a YouTube cover but I'm too pussy so umm okay how about this ._. 35 RTS and I will post a cover"
0,"It's a bird? It's a plane? No, it's Peter Walkin on Air Byers"
1,"These bitches ain't to be trusted"
0,"Dis nicca went in on dat I Keep tryin"
0,"FoxNews projects that Wyoming Senator Mike Enzi will defeat Democratic challenger Charlie Hardy. Election2014"
1,"Lol at bitches thinking Kanye is the perfect man because he opened the car door for his wife You bitches don't know wtf y'all need"
0,"Prime suspect of Foley murder is 23y/o British Jihadi who, wait for it declared his allegiance to Anonymous"
1,"I hate myself for bein so nice to these hoes bro."
0,"the trash wheel has a twitter? and googly eyes?"
0,"Majority of it is trash anyway."
0,"WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your VyvanseYankees 2015!"
1,"As if it WASNT gon get Bacc to me bitch your outta your fuccing mind"
1,"ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes"
1,"The nicer you are, the easier you're hurt. So just be a bitch"
1,"Oh yeah! Especially Winston niccas lmao think I wont lol. These 336 niggas"
1,"The funny thing is the daughter never got kicked out on her one night stand, I didn't have the courage to tell her, her mom an official hoe"
0,"porn,android,iphone,ipad,sex,xxx, | Teen | Cutie lesbian teens toy slits"
1,"I likes me dem Mexican hoes. Day suck me off for 5 dollas"
0,"Charlie looking like he's the one that made that 3."
0,"EXPOSED Jihadi kidnap and murder handbook and plan to infiltrate British Army and police via"
1,"My bitch can be anything except average"
1,"When niggas want bitches like trey"
1,"Ain't shit like fucking another nigga bitch and askin her who pussy is this and she say yours lmao no bitch im stealing this pussy lol"
0,"When Charlie Crist said Rick Scott, just too shady for the sunshine state"
1,"All y'all some fucking coons"
0,"Touch my swag. Wish you could. I LOOK FLY. I LOOK GOOD. On my momma On my ho"
